ID,name,category,close_date,amount
429,Cloverleaf Local Schools_OH_0048488,Protect,9/7/2023,11000
429,Cloverleaf Local Schools_OH_0048488,Shield,5/9/2024,1108.7
429,Cloverleaf Local Schools_OH_0048488,Learn21,12/6/2024,3404.65
429,Cloverleaf Local Schools_OH_0048488,Protect,10/11/2024,14875
429,Cloverleaf Local Schools_OH_0048488,MS - Special Projects,11/27/2024,24909.82
429,Cloverleaf Local Schools_OH_0048488,Managed Services,5/13/2025,256188.24
429,Cloverleaf Local Schools_OH_0048488,Learn21,5/23/2025,3787.58
429,Cloverleaf Local Schools_OH_0048488,Managed Services,5/23/2025,25000
429,Cloverleaf Local Schools_OH_0048488,Protect,5/27/2025,13193.75
431,Columbia Local Schools_OH_0048140,Managed Services,1/17/2023,7076.7
431,Columbia Local Schools_OH_0048140,Managed Services,1/17/2023,566.23
431,Columbia Local Schools_OH_0048140,Managed Services,1/17/2023,5405
431,Columbia Local Schools_OH_0048140,Managed Services,1/17/2023,1105.48
431,Columbia Local Schools_OH_0048140,Managed Services,6/22/2023,76283.88
431,Columbia Local Schools_OH_0048140,E-Rate Services,6/22/2023,3000
431,Columbia Local Schools_OH_0048140,Shield,10/20/2023,324.98
431,Columbia Local Schools_OH_0048140,Managed Services,7/31/2024,88604.28
431,Columbia Local Schools_OH_0048140,Learn21,7/16/2024,1583.87
431,Columbia Local Schools_OH_0048140,E-Rate Services,7/8/2024,3000
431,Columbia Local Schools_OH_0048140,Protect,7/8/2024,7556
431,Columbia Local Schools_OH_0048140,Shield,10/30/2024,3270.94
431,Columbia Local Schools_OH_0048140,Shield,11/27/2024,0
431,Columbia Local Schools_OH_0048140,Shield,11/11/2024,223.74
431,Columbia Local Schools_OH_0048140,Shield,3/27/2025,6004.83
431,Columbia Local Schools_OH_0048140,Managed Services,5/23/2025,88603.92
431,Columbia Local Schools_OH_0048140,E-Rate Services,3/28/2025,3000
431,Columbia Local Schools_OH_0048140,Learn21,3/28/2025,1625.59
431,Columbia Local Schools_OH_0048140,Protect,6/18/2025,6988
431,Columbia Local Schools_OH_0048140,Shield,7/2/2025,543.75
431,Columbia Local Schools_OH_0048140,Shield,7/2/2025,2084.38
431,Columbia Local Schools_OH_0048140,Shield,7/2/2025,2084.38
431,Columbia Local Schools_OH_0048140,Shield,7/2/2025,1996.79
431,Columbia Local Schools_OH_0048140,Shield,7/2/2025,8605.06
431,Columbia Local Schools_OH_0048140,Shield,7/2/2025,8985.08
431,Columbia Local Schools_OH_0048140,E-Rate Services,7/2/2025,3000
4355,Cypress High School,Shield,9/10/2025,1970.08
4355,Cypress High School,Shield,12/23/2025,3557.96
4355,Cypress High School,Managed Services,1/17/2023,3612.48
4355,Cypress High School,Managed Services,1/17/2023,897.48
4355,Cypress High School,Shield,8/18/2023,337.5
4355,Cypress High School,Shield,8/18/2023,512.5
4355,Cypress High School,Managed Services,6/28/2023,26546.16
4355,Cypress High School,E-Rate Services,6/28/2023,3000
